Trade,Cumulative PnL INR,Peak,Drawdown,Drawdown %
1001,547342.5,548680.5,-1338,-0.243857764
1002,544449,548680.5,-4231.5,-0.771213848
1003,541338,548680.5,-7342.5,-1.338210489
1004,542187,548680.5,-6493.5,-1.183475629
1005,543207,548680.5,-5473.5,-0.997575092
1006,540057,548680.5,-8623.5,-1.571679693
1007,544810.5,548680.5,-3870,-0.705328511
1008,549721.5,549721.5,0,0
1009,547720.5,549721.5,-2001,-0.364002499
1010,546823.5,549721.5,-2898,-0.527176034
1011,548023.5,549721.5,-1698,-0.30888368
1012,551556,551556,0,0
1013,550260,551556,-1296,-0.234971608
1014,547146,551556,-4410,-0.799556165
1015,549958.5,551556,-1597.5,-0.289635141
1016,545875.5,551556,-5680.5,-1.029904488
1017,544804.5,551556,-6751.5,-1.224082414
1018,544149,551556,-7407,-1.342928007
1019,547968,551556,-3588,-0.650523247
1020,546861,551556,-4695,-0.851228162
1021,544206,551556,-7350,-1.332593608
1022,550806,551556,-750,-0.13597894
1023,547836,551556,-3720,-0.67445554
1024,545118,551556,-6438,-1.167243217
1025,540642,551556,-10914,-1.978765529
1026,546799.5,551556,-4756.5,-0.862378435
1027,541305,551556,-10251,-1.858560146
1028,541432.5,551556,-10123.5,-1.835443726
1029,548934,551556,-2622,-0.475382373
1030,555574.5,555574.5,0,0
1031,555451.5,555574.5,-123,-0.022139245
1032,550590,555574.5,-4984.5,-0.897179406
1033,549022.5,555574.5,-6552,-1.179319785
1034,550474.5,555574.5,-5100,-0.917968697
1035,547824,555574.5,-7750.5,-1.395042429
1036,554053.5,555574.5,-1521,-0.273770664
1037,549529.5,555574.5,-6045,-1.088062897
1038,559380,559380,0,0
1039,558738,559380,-642,-0.114769924
1040,555244.5,559380,-4135.5,-0.739300654
1041,559143,559380,-237,-0.042368336
1042,569854.5,569854.5,0,0
1043,565333.5,569854.5,-4521,-0.79336041
1044,565605,569854.5,-4249.5,-0.74571667
1045,563830.5,569854.5,-6024,-1.057111947
1046,567574.5,569854.5,-2280,-0.400102131
1047,564984,569854.5,-4870.5,-0.854691856
1048,561124.5,569854.5,-8730,-1.531970003
1049,569278.5,569854.5,-576,-0.101078433
1050,565828.5,569854.5,-4026,-0.706496132
1051,559867.5,569854.5,-9987,-1.752552625
1052,555789,569854.5,-14065.5,-2.468261635
1053,550705.5,569854.5,-19149,-3.360331453
1054,557676,569854.5,-12178.5,-2.137124477
1055,557191.5,569854.5,-12663,-2.222146179
1056,554212.5,569854.5,-15642,-2.744911201
1057,556153.5,569854.5,-13701,-2.404297939
1058,552313.5,569854.5,-17541,-3.07815416
1059,547582.5,569854.5,-22272,-3.908366083
1060,549219,569854.5,-20635.5,-3.621187514
1061,546432,569854.5,-23422.5,-4.110259724
1062,544264.5,569854.5,-25590,-4.490619974
1063,546715.5,569854.5,-23139,-4.060510183
1064,543046.5,569854.5,-26808,-4.704358744
1065,540103.5,569854.5,-29751,-5.220806364
1066,536275.5,569854.5,-33579,-5.892556784
1067,555904.5,569854.5,-13950,-2.447993304
1068,555334.5,569854.5,-14520,-2.548018836
1069,550671,569854.5,-19183.5,-3.36638563
1070,544945.5,569854.5,-24909,-4.371115785
1071,538530,569854.5,-31324.5,-5.496929479
1072,534396,569854.5,-35458.5,-6.222377817
1073,535485,569854.5,-34369.5,-6.031276405
1074,530622,569854.5,-39232.5,-6.884652135
1075,542434.5,569854.5,-27420,-4.811754579
1076,546076.5,569854.5,-23778,-4.17264407
1077,546097.5,569854.5,-23757,-4.168958918
1078,542721,569854.5,-27133.5,-4.761478588
1079,551776.5,569854.5,-18078,-3.172388741
1080,545100,569854.5,-24754.5,-4.344003601
1081,580561.5,580561.5,0,0
1082,575736,580561.5,-4825.5,-0.831178092
1083,568414.5,580561.5,-12147,-2.092284797
1084,571251,580561.5,-9310.5,-1.603706067
1085,565495.5,580561.5,-15066,-2.595073907
1086,556854,580561.5,-23707.5,-4.083546704
1087,553552.5,580561.5,-27009,-4.652220307
1088,549537,580561.5,-31024.5,-5.343878297
1089,553212,580561.5,-27349.5,-4.710870425
1090,560616,580561.5,-19945.5,-3.435553339
1091,573838.5,580561.5,-6723,-1.158016851
1092,570340.5,580561.5,-10221,-1.760536997
